UIC;Gare enquêtée;Classe distance gare gare;POURCENTAGE;Année
345025.0;Lens;75 à 100 km;1.0;2016
212027.0;Strasbourg;Moins de 25 km;23.0;2016
571000.0;Tours;200 à 250 km;27.0;2016
478404.0;Laval;75 à 100 km;1.0;2011
673400.0;Biarritz;Plus de 500 km;35.0;2016
673400.0;Biarritz;50 à 75 km;0.0;2016
571000.0;Tours;75 à 100 km;11.0;2016
762906.0;Lyon Saint Exupery TGV;Plus de 500 km;0.0;2016
751008.0;Marseille Saint-Charles;200 à 250 km;1.0;2013
757625.0;Cannes;300 à 400 km;0.0;2015
756056.0;Nice;300 à 400 km;1.0;2014
722025.0;Lyon Perrache;50 à 75 km;12.0;2011
677005.0;Hendaye;250 à 300 km;1.0;2016
677005.0;Hendaye;100 à 150 km;3.0;2016
713040.0;Dijon;400 à 500 km;3.0;2015
142109.0;Lorraine TGV;Plus de 500 km;25.0;2017
142109.0;Lorraine TGV;400 à 500 km;3.0;2017
118000.0;Troyes;Plus de 500 km;0.0;2015
118000.0;Troyes;150 à 200 km;1.0;2015
118000.0;Troyes;75 à 100 km;10.0;2015
141002.0;Nancy;75 à 100 km;3.0;2014
300863.0;Besançon Franche-Comté TGV;400 à 500 km;6.0;2015
300863.0;Besançon Franche-Comté TGV;75 à 100 km;3.0;2015
300822.0;Belfort Montbéliard TGV;Plus de 500 km;6.0;2015
300822.0;Belfort Montbéliard TGV;400 à 500 km;8.0;2015
300822.0;Belfort Montbéliard TGV;300 à 400 km;52.0;2015
223263.0;Lille Europe;Plus de 500 km;29.0;2013
212027.0;Strasbourg;Plus de 500 km;3.0;2016
182063.0;Mulhouse;75 à 100 km;22.0;2014
396002.0;Le Mans;250 à 300 km;2.0;2015
444000.0;Caen;300 à 400 km;1.0;2012
182063.0;Mulhouse;300 à 400 km;16.0;2014
182014.0;Colmar;300 à 400 km;3.0;2017
673004.0;Bayonne;400 à 500 km;1.0;2013
673004.0;Bayonne;100 à 150 km;4.0;2013
484006.0;Angers Saint Laud;75 à 100 km;32.0;2015
583005.0;Angoulême;Plus de 500 km;5.0;2012
583005.0;Angoulême;200 à 250 km;0.0;2012
571000.0;Tours;100 à 150 km;15.0;2016
723197.0;Lyon Part Dieu;100 à 150 km;4.0;2011
753657.0;Arles;Moins de 25 km;1.0;2014
756056.0;Nice;Plus de 500 km;9.0;2014
756056.0;Nice;250 à 300 km;4.0;2014
763029.0;Valence TGV Rhône-Alpes Sud;50 à 75 km;11.0;2015
784009.0;Perpignan;50 à 75 km;12.0;2016
673004.0;Bayonne;Moins de 25 km;10.0;2013
471003.0;Rennes;Plus de 500 km;6.0;2014
182063.0;Mulhouse;Plus de 500 km;4.0;2014
192039.0;Metz;Plus de 500 km;1.0;2016
286005.0;Lille Flandres;300 à 400 km;0.0;2013
313874.0;Amiens;75 à 100 km;10.0;2015
753657.0;Arles;300 à 400 km;2.0;2014
396002.0;Le Mans;100 à 150 km;8.0;2015
396002.0;Le Mans;25 à 50 km;13.0;2015
345025.0;Lens;25 à 50 km;41.0;2016
762906.0;Lyon Saint Exupery TGV;250 à 300 km;17.0;2016
756056.0;Nice;25 à 50 km;17.0;2014
396002.0;Le Mans;300 à 400 km;3.0;2015
182014.0;Colmar;150 à 200 km;0.0;2017
182014.0;Colmar;200 à 250 km;0.0;2017
141002.0;Nancy;25 à 50 km;31.0;2014
762906.0;Lyon Saint Exupery TGV;150 à 200 km;0.0;2016
784009.0;Perpignan;75 à 100 km;7.0;2016
571000.0;Tours;400 à 500 km;1.0;2016
756056.0;Nice;200 à 250 km;1.0;2014
753657.0;Arles;50 à 75 km;36.0;2014
300822.0;Belfort Montbéliard TGV;50 à 75 km;1.0;2015
286005.0;Lille Flandres;100 à 150 km;2.0;2013
313874.0;Amiens;50 à 75 km;28.0;2015
722025.0;Lyon Perrache;Plus de 500 km;0.0;2011
677005.0;Hendaye;400 à 500 km;3.0;2016
192039.0;Metz;150 à 200 km;1.0;2016
611004.0;Toulouse Matabiau;Moins de 25 km;10.0;2014
673400.0;Biarritz;250 à 300 km;0.0;2016
673400.0;Biarritz;25 à 50 km;14.0;2016
481002.0;Nantes;50 à 75 km;14.0;2014
411017.0;Rouen Rive Droite;75 à 100 km;0.0;2014
396002.0;Le Mans;Plus de 500 km;5.0;2015
722025.0;Lyon Perrache;250 à 300 km;0.0;2011
673400.0;Biarritz;150 à 200 km;22.0;2016
673004.0;Bayonne;25 à 50 km;25.0;2013
747006.0;Grenoble;150 à 200 km;2.0;2015
753657.0;Arles;Plus de 500 km;6.0;2014
